sido_sgg,locatadd_nm,avg_area,avg_price
11680,서울특별시 강남구,89.05017933194155,2960.7924573492587
11740,서울특별시 강동구,72.79210411417637,1550.7732443095201
11305,서울특별시 강북구,70.6598447643979,887.1697480194856
11500,서울특별시 강서구,69.70354862852665,1203.26051489855
11620,서울특별시 관악구,73.25996136447905,1063.839398545586
11215,서울특별시 광진구,78.95762949725058,1639.3603255611122
11530,서울특별시 구로구,69.08105805297065,976.9844988093632
11545,서울특별시 금천구,70.80965713087248,893.2776688515667
11350,서울특별시 노원구,63.56857261568849,976.0718731497924
11320,서울특별시 도봉구,69.53700747954811,792.1350354810588
11230,서울특별시 동대문구,70.21823035428572,1210.5938165863913
11590,서울특별시 동작구,79.60556841671813,1564.95137716952
11440,서울특별시 마포구,77.12357596398513,1816.8749686706924
11410,서울특별시 서대문구,73.48338697674419,1324.0528828498395
11650,서울특별시 서초구,93.22810042321645,2908.107865990227
11200,서울특별시 성동구,78.67835084125822,1932.6851776348046
11290,서울특별시 성북구,74.546778864476,1117.9154168074929
11710,서울특별시 송파구,83.92210751521566,2160.101519868123
11470,서울특별시 양천구,79.58162244718311,1606.9321633825205
11560,서울특별시 영등포구,77.74274302346736,1570.0290840161022
11170,서울특별시 용산구,96.61555086862106,2303.8181162989563
11380,서울특별시 은평구,71.3978972421718,1121.3066613189592
11110,서울특별시 종로구,79.15573604651163,1512.7410069322648
11140,서울특별시 중구,74.71673349056603,1492.5919481643552
11260,서울특별시 중랑구,69.29110110149489,918.37818338903
